date,fPrice,cPrice
2018/07,14.4323992,28.8
2018/08,14.23616581,28.8
2018/09,15.211208,29.5
2018/10,15.67520859,29.5
2018/11,12.93127873,26.9
2018/12,11.17879047,24.5
2019/01,11.58103883,26.4
2019/02,12.59461992,26.3
2019/03,12.98468494,27.3
2019/04,13.90329522,28.6
2019/05,13.86002644,28.8
2019/06,12.35336268,27.2
2019/07,12.59134306,27.2
2019/08,11.82848534,26.6
2019/09,12.23434364,27.1
2019/10,11.48174968,26.4
2019/11,11.92332906,26.9
2019/12,12.30120452,27.7
2020/01,12.31118101,26.8
2020/02,10.63060747,25.5
2020/03,6.59958374,18.2
2020/04,5.106068221,16.1
2020/05,6.052370221,19.6
2020/06,7.541011137,22
2020/07,7.973155307,22.3
2020/08,8.297832594,22.5
2020/09,7.702444844,22.2
2020/10,7.475605384,22
2020/11,7.787534272,22.1
2020/12,8.821609082,24
2021/01,9.645621065,25.1
2021/02,10.85097153,25.5
2021/03,11.67970649,26.8
2021/04,11.53440262,26.8
