date,fPrice,cPrice
2018/07,14.4323992,26.9
2018/08,14.23616581,26.8
2018/09,15.211208,27.7
2018/10,15.67520859,27.7
2018/11,12.93127873,24.9
2018/12,11.17879047,22.2
2019/01,11.58103883,24.2
2019/02,12.59461992,25.5
2019/03,12.98468494,26
2019/04,13.90329522,27.3
2019/05,13.86002644,26.8
2019/06,12.35336268,25.1
2019/07,12.59134306,25.1
2019/08,11.82848534,24.4
2019/09,12.23434364,25
2019/10,11.48174968,24.2
2019/11,11.92332906,24.7
2019/12,12.30120452,25.7
2020/01,12.31118101,24.7
2020/02,10.63060747,23.3
2020/03,6.59958374,15.4
2020/04,5.106068221,13
2020/05,6.052370221,17.1
2020/06,7.541011137,19.4
2020/07,7.973155307,19.6
2020/08,8.297832594,19.8
2020/09,7.702444844,19.5
2020/10,7.475605384,19.3
2020/11,7.787534272,19.4
2020/12,8.821609082,21.3
2021/01,9.645621065,22.4
2021/02,10.85097153,22.8
2021/03,11.67970649,24
2021/04,11.53440262,24
