date,fPrice,cPrice
2021/07,14.4323992,32.3
2021/08,14.23616581,32.3
2021/09,15.211208,33
2021/10,15.67520859,33
2021/11,12.93127873,30.4
2021/12,11.17879047,28
2021/01,11.58103883,29.9
2021/02,12.59461992,29.8
2021/03,12.98468494,30.8
2021/04,13.90329522,32.1
2021/05,13.86002644,32.3
2021/06,12.35336268,30.7
2021/07,12.59134306,30.7
2021/08,11.82848534,30.1
2021/09,12.23434364,30.6
2021/10,11.48174968,29.9
2021/11,11.92332906,30.4
2021/12,12.30120452,31.2
2021/01,12.31118101,30.3
2021/02,10.63060747,29
2021/03,6.59958374,21.7
2021/04,5.106068221,19.6
2021/05,6.052370221,23.1
2021/06,7.541011137,25.5
2021/07,7.973155307,25.8
2021/08,8.297832594,26
2021/09,7.702444844,25.7
2021/10,7.475605384,25.5
2021/11,7.787534272,25.6
2021/12,8.821609082,27.5
2021/01,9.645621065,28.6
2021/02,10.85097153,29
2021/03,11.67970649,30.3
2021/04,11.53440262,30.3
